Round,Time,Accuracy,Loss
1,16.16259527206421,0.7493990384615384,0.7889403710380579
2,23.12418818473816,0.8745993589743589,0.4053190560677113
3,30.041255712509155,0.905448717948718,0.31991326737289244
4,37.12924313545227,0.9128605769230769,0.27850218246189445
5,44.31439471244812,0.9228766025641025,0.24883181193413642
6,51.28614926338196,0.9280849358974359,0.2323634666032516
7,58.295355558395386,0.9308894230769231,0.22395106727400652
8,65.1169080734253,0.9401041666666666,0.19678880120269382
9,73.14071822166443,0.94140625,0.1937091798008157
10,87.97452163696289,0.9473157051282052,0.1759761291770981
